epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.08486,0.5435,0.99091,1,0.03897,0.000412773,0.000412773,0.000412773
2,9.20489,0.17787,0.98636,1,0.0402,0.000813016,0.000813016,0.000813016
3,12.8743,0.20727,0.98864,1,0.05483,0.00119676,0.00119676,0.00119676
4,16.5738,0.21203,0.99091,1,0.04924,0.00117575,0.00117575,0.00117575
5,20.3498,0.19498,0.99773,1,0.02898,0.001151,0.001151,0.001151
6,24.1457,0.1407,0.99318,1,0.02498,0.00112625,0.00112625,0.00112625
7,27.8931,0.1374,0.98409,1,0.04308,0.0011015,0.0011015,0.0011015
8,31.7587,0.14877,0.98636,1,0.04362,0.00107675,0.00107675,0.00107675
9,35.5833,0.13137,0.99545,1,0.01573,0.001052,0.001052,0.001052
10,39.3378,0.13941,0.99773,1,0.00787,0.00102725,0.00102725,0.00102725
11,43.0199,0.09683,1,1,0.00327,0.0010025,0.0010025,0.0010025
12,46.8397,0.08703,0.99091,1,0.01897,0.00097775,0.00097775,0.00097775
13,50.7064,0.11284,1,1,0.00638,0.000953,0.000953,0.000953
14,54.4365,0.0608,0.99773,1,0.0086,0.00092825,0.00092825,0.00092825
15,58.1113,0.04916,1,1,0.00178,0.0009035,0.0009035,0.0009035
16,61.8465,0.04365,0.99545,1,0.01161,0.00087875,0.00087875,0.00087875
17,65.4723,0.07289,0.99545,1,0.01665,0.000854,0.000854,0.000854
18,69.1122,0.06659,1,1,0.00523,0.00082925,0.00082925,0.00082925
19,72.7381,0.05613,0.99545,1,0.01104,0.0008045,0.0008045,0.0008045
20,76.4897,0.08561,0.99773,1,0.00344,0.00077975,0.00077975,0.00077975
21,80.2279,0.0685,0.99773,1,0.00412,0.000755,0.000755,0.000755
22,83.8906,0.04231,0.99773,1,0.00495,0.00073025,0.00073025,0.00073025
23,87.5552,0.03166,1,1,0.00087,0.0007055,0.0007055,0.0007055
24,91.2013,0.02091,1,1,0.00051,0.00068075,0.00068075,0.00068075
25,95.0216,0.02592,1,1,0.00217,0.000656,0.000656,0.000656
26,98.9493,0.0236,1,1,0.00096,0.00063125,0.00063125,0.00063125
27,102.957,0.03879,1,1,0.0013,0.0006065,0.0006065,0.0006065
28,107.224,0.02779,1,1,0.001,0.00058175,0.00058175,0.00058175
29,111.121,0.02685,1,1,0.0013,0.000557,0.000557,0.000557
30,114.858,0.0327,1,1,0.00106,0.00053225,0.00053225,0.00053225
31,118.846,0.02803,1,1,0.00075,0.0005075,0.0005075,0.0005075
32,123.006,0.01967,1,1,0.00029,0.00048275,0.00048275,0.00048275
33,127.013,0.01754,0.99773,1,0.00424,0.000458,0.000458,0.000458
34,131,0.01936,1,1,0.00074,0.00043325,0.00043325,0.00043325
35,134.821,0.0141,1,1,0.00029,0.0004085,0.0004085,0.0004085
36,138.839,0.02252,1,1,0.0015,0.00038375,0.00038375,0.00038375
37,142.908,0.01521,1,1,0.00038,0.000359,0.000359,0.000359
38,146.843,0.00823,1,1,0.00026,0.00033425,0.00033425,0.00033425
39,150.887,0.01626,1,1,0.00034,0.0003095,0.0003095,0.0003095
40,154.865,0.01006,1,1,0.00032,0.00028475,0.00028475,0.00028475
41,182.197,0.02149,1,1,0.00054,0.00026,0.00026,0.00026
42,186.134,0.0131,1,1,0.00027,0.00023525,0.00023525,0.00023525
43,190.156,0.02999,1,1,0.00029,0.0002105,0.0002105,0.0002105
44,193.92,0.0129,1,1,0.00011,0.00018575,0.00018575,0.00018575
45,197.859,0.006,1,1,0.00018,0.000161,0.000161,0.000161
46,201.792,0.00712,1,1,0.0001,0.00013625,0.00013625,0.00013625
47,205.789,0.00537,1,1,8e-05,0.0001115,0.0001115,0.0001115
48,209.782,0.00582,1,1,0.00011,8.675e-05,8.675e-05,8.675e-05
49,213.617,0.00877,1,1,6e-05,6.2e-05,6.2e-05,6.2e-05
50,217.496,0.00734,1,1,7e-05,3.725e-05,3.725e-05,3.725e-05
